sample_id,label,fold,n_red_polygons,out_of_range_vertices,mask_area,area_ratio,bbox_x0,bbox_y0,bbox_x1,bbox_y1,bbox_width,bbox_height,bbox_max_side,upsample_factor,context_box_width,context_box_height
MR0683,4,2,5,0,29292,0.19864908854166666,101,77,336,363,235,286,286,1.3426573426573427,329,365
MR0656,2,5,6,0,20042,0.1359185112847222,72,27,302,369,230,342,342,1.1228070175438596,322,384
MR0684,4,4,7,0,22263,0.15098063151041666,48,72,267,363,219,291,291,1.3195876288659794,307,371
MR0655,4,4,5,0,15763,0.1068996853298611,59,10,330,359,271,349,349,1.1002865329512894,380,384
MR0653,2,2,6,0,23779,0.1612616644965278,91,18,312,359,221,341,341,1.1260997067448681,311,384
MR0626,2,1,5,0,28522,0.1934271918402778,85,32,336,362,251,330,330,1.1636363636363636,350,384
MR0627,4,3,6,0,26326,0.1785346137152778,48,28,284,359,236,331,331,1.1601208459214503,332,384
MR0628,4,5,6,0,18562,0.1258816189236111,76,51,330,363,254,312,312,1.2307692307692308,356,384
MR0629,0,4,4,0,28370,0.19239637586805555,99,35,336,365,237,330,330,1.1636363636363636,333,384
MR0630,4,2,6,0,26738,0.1813286675347222,53,35,307,358,254,323,323,1.1888544891640866,356,384
MR0631,4,3,5,0,16841,0.11421034071180555,83,58,323,359,240,301,301,1.2757475083056478,336,384
MR0632,0,5,4,0,31366,0.2127143012152778,82,57,336,360,254,303,303,1.2673267326732673,353,384
MR0633,2,2,6,0,26880,0.18229166666666666,60,55,314,356,254,301,301,1.2757475083056478,356,384
MR0634,2,1,4,0,21550,0.1461452907986111,78,55,318,361,240,306,306,1.2549019607843137,336,384
MR0635,1,4,4,0,33052,0.2241482204861111,78,39,336,365,258,326,326,1.177914110429448,358,384
MR0636,4,4,6,0,26940,0.18269856770833334,55,32,305,365,250,333,333,1.1531531531531531,350,384
MR0637,4,4,6,0,25881,0.17551676432291666,57,30,320,358,263,328,328,1.170731707317073,369,384
MR0638,4,3,9,0,29341,0.1989813910590278,87,23,336,356,249,333,333,1.1531531531531531,347,384
MR0639,4,3,8,0,28533,0.19350179036458334,48,22,299,365,251,343,343,1.119533527696793,350,384
MR0640,4,2,7,0,31333,0.2124905056423611,53,35,320,363,267,328,328,1.170731707317073,374,384
MR0641,4,1,6,0,24107,0.1634860568576389,88,33,334,365,246,332,332,1.1566265060240963,346,384
MR0642,4,5,6,0,29193,0.19797770182291666,48,21,300,367,252,346,346,1.1098265895953756,351,384
MR0643,3,1,8,0,24685,0.16740587022569445,69,37,312,365,243,328,328,1.170731707317073,341,384
MR0644,3,1,5,0,25672,0.1740993923611111,88,33,332,367,244,334,334,1.1497005988023952,342,384
MR0645,3,2,8,0,20150,0.1366509331597222,48,44,295,362,247,318,318,1.2075471698113207,345,384
MR0646,3,4,7,0,23142,0.15694173177083334,57,74,336,364,279,290,290,1.3241379310344827,383,368
MR0647,4,1,5,0,24846,0.16849772135416666,89,113,336,364,247,251,251,1.5298804780876494,345,322
MR0648,4,5,5,0,26647,0.18071153428819445,48,110,295,367,247,257,257,1.4941634241245136,345,326
MR0649,4,3,7,0,23880,0.16194661458333334,54,23,322,362,268,339,339,1.1327433628318584,376,384
MR0650,1,1,5,0,23341,0.1582912868923611,79,19,336,357,257,338,338,1.136094674556213,357,384
MR0651,1,4,8,0,22070,0.14967176649305555,48,23,323,366,275,343,343,1.119533527696793,378,384
MR0652,3,5,6,0,25066,0.1699896918402778,61,19,325,365,264,346,346,1.1098265895953756,370,384
MR0654,2,1,7,0,25730,0.1744927300347222,48,20,307,366,259,346,346,1.1098265895953756,359,384
MR0685,3,5,4,0,27103,0.1838039822048611,65,75,330,365,265,290,290,1.3241379310344827,371,367
MR0686,3,3,5,0,30668,0.2079806857638889,90,77,336,364,246,287,287,1.3379790940766552,344,365
MR0687,4,1,5,0,23785,0.16130235460069445,48,74,287,359,239,285,285,1.3473684210526315,335,367
MR0720,1,4,5,0,23511,0.15944417317708334,74,30,336,353,262,323,323,1.1888544891640866,363,384
MR0721,1,1,5,0,15702,0.10648600260416667,62,156,327,354,265,198,265,1.4490566037735848,371,268
MR0722,1,3,5,0,20412,0.138427734375,75,9,336,343,261,334,334,1.1497005988023952,362,384
MR0723,2,5,5,0,19503,0.13226318359375,48,162,321,348,273,186,273,1.4065934065934067,376,260
MR0724,1,1,5,0,9024,0.061197916666666664,73,174,319,356,246,182,246,1.5609756097560976,346,247
MR0725,0,3,6,0,29787,0.20200602213541666,89,11,335,366,246,355,355,1.0816901408450703,345,384
MR0726,4,3,7,0,16575,0.11240641276041667,66,23,281,362,215,339,339,1.1327433628318584,301,384
MR0727,4,1,5,0,11708,0.07939995659722222,65,35,323,365,258,330,330,1.1636363636363636,362,384
MR0728,0,5,10,0,17398,0.11798773871527778,92,22,336,367,244,345,345,1.1130434782608696,341,384
MR0729,2,5,8,0,14090,0.0955539279513889,72,26,281,360,209,334,334,1.1497005988023952,293,384
MR0730,2,5,7,0,11530,0.07819281684027778,67,12,330,359,263,347,347,1.106628242074928,369,384
MR0731,1,1,8,0,16609,0.1126369900173611,103,10,336,361,233,351,351,1.0940170940170941,327,384
MR0732,3,2,8,0,9207,0.06243896484375,74,13,275,356,201,343,343,1.119533527696793,283,384
MR0733,2,1,8,0,14723,0.09984673394097222,62,75,327,350,265,275,275,1.3963636363636365,371,364
MR0734,2,3,10,0,21256,0.14415147569444445,91,23,336,359,245,336,336,1.1428571428571428,342,384
MR0735,3,2,7,0,18260,0.12383355034722222,48,52,291,350,243,298,298,1.2885906040268456,340,384
MR0736,3,4,9,0,17053,0.11564805772569445,54,37,325,354,271,317,317,1.2113564668769716,380,384
MR0737,2,2,8,0,18989,0.1287773980034722,88,28,336,351,248,323,323,1.1888544891640866,346,384
MR0738,3,3,5,0,22000,0.1491970486111111,48,36,295,347,247,311,311,1.234726688102894,345,384
MR0739,3,5,5,0,14800,0.1003689236111111,55,153,326,343,271,190,271,1.4169741697416973,381,266
MR0740,2,4,6,0,17977,0.1219143337673611,106,48,336,337,230,289,289,1.328719723183391,322,384
MR0741,2,5,5,0,25429,0.1724514431423611,48,34,295,342,247,308,308,1.2467532467532467,345,384
MR0742,3,3,6,0,20355,0.13804117838541666,61,50,322,356,261,306,306,1.2549019607843137,367,384
MR0743,2,1,6,0,18972,0.128662109375,98,54,336,351,238,297,297,1.292929292929293,334,384
MR0744,3,2,6,0,22277,0.15107557508680555,48,38,283,358,235,320,320,1.2,329,384
MR0745,3,3,8,0,19272,0.13069661458333334,59,39,323,358,264,319,319,1.2037617554858935,370,384
MR0746,3,5,5,0,23477,0.1592135959201389,82,46,320,352,238,306,306,1.2549019607843137,334,384
MR0719,0,5,5,0,20820,0.14119466145833334,49,14,313,348,264,334,334,1.1497005988023952,366,384
MR0718,1,4,5,0,16591,0.1125149197048611,65,168,331,349,266,181,266,1.443609022556391,373,253
MR0717,2,2,6,0,16612,0.11265733506944445,68,12,327,341,259,329,329,1.1671732522796352,363,384
MR0716,2,1,6,0,21347,0.1447686089409722,96,8,336,345,240,337,337,1.13946587537092,336,384
MR0688,4,3,4,0,25465,0.1726955837673611,64,78,332,362,268,284,284,1.352112676056338,374,363
MR0689,2,1,4,0,31802,0.2156711154513889,102,60,336,363,234,303,303,1.2673267326732673,328,384
MR0690,4,4,6,0,24870,0.16866048177083334,50,83,281,357,231,274,274,1.4014598540145986,325,356
MR0691,3,1,5,0,25587,0.17352294921875,57,87,308,364,251,277,277,1.3862815884476534,353,353
MR0692,2,5,7,0,31142,0.21119520399305555,93,76,335,370,242,294,294,1.3061224489795917,340,367
MR0693,4,4,8,0,23849,0.1617363823784722,48,73,271,359,223,286,286,1.3426573426573427,313,369
MR0694,3,1,4,0,25535,0.17317030164930555,66,75,328,363,262,288,288,1.3333333333333333,368,367
MR0695,2,3,5,0,25925,0.1758151584201389,48,74,286,363,238,289,289,1.328719723183391,334,368
MR0696,3,5,7,0,24357,0.16518147786458334,105,86,336,364,231,278,278,1.381294964028777,325,354
MR0697,4,3,4,0,26463,0.17946370442708334,69,73,327,367,258,294,294,1.3061224489795917,362,370
MR0698,2,3,6,0,25140,0.17049153645833334,100,87,336,370,236,283,283,1.3568904593639577,332,354
MR0699,3,2,4,0,26511,0.17978922526041666,48,76,293,370,245,294,294,1.3061224489795917,342,367
MR0700,3,5,5,0,26177,0.1775241427951389,64,76,320,365,256,289,289,1.328719723183391,360,366
MR0625,3,2,9,0,26484,0.17960611979166666,53,24,327,362,274,338,338,1.136094674556213,382,384
MR0701,2,2,7,0,22748,0.1542697482638889,48,78,283,364,235,286,286,1.3426573426573427,329,364
MR0703,4,5,5,0,24664,0.1672634548611111,68,78,335,363,267,285,285,1.3473684210526315,370,363
MR0704,3,3,4,0,24009,0.16282145182291666,127,91,336,364,209,273,273,1.4065934065934067,293,348
MR0705,4,3,6,0,22437,0.15216064453125,53,84,275,363,222,279,279,1.3763440860215055,312,356
MR0706,3,5,6,0,20984,0.1423068576388889,63,51,322,358,259,307,307,1.250814332247557,363,384
MR0707,2,1,4,0,21544,0.14610460069444445,48,47,278,320,230,273,273,1.4065934065934067,322,375
MR0708,3,1,6,0,20465,0.1387871636284722,100,58,336,357,236,299,299,1.2842809364548495,332,384
MR0709,4,4,4,0,24456,0.16585286458333334,67,22,326,324,259,302,302,1.271523178807947,363,384
MR0710,2,5,7,0,24801,0.16819254557291666,48,28,279,360,231,332,332,1.1566265060240963,325,384
MR0711,3,2,6,0,25939,0.1759101019965278,99,26,336,356,237,330,330,1.1636363636363636,333,384
MR0712,4,1,9,0,26988,0.18302408854166666,58,15,327,363,269,348,348,1.103448275862069,377,384
MR0713,2,4,7,0,26413,0.17912462022569445,90,33,336,364,246,331,331,1.1601208459214503,344,384
MR0714,3,3,6,0,23044,0.1562771267361111,48,13,294,361,246,348,348,1.103448275862069,344,384
MR0715,4,5,6,0,22972,0.1557888454861111,48,7,294,347,246,340,340,1.1294117647058823,344,384
MR0702,3,3,6,0,23255,0.1577080620659722,102,86,336,364,234,278,278,1.381294964028777,328,354
MR0747,3,2,6,0,20673,0.14019775390625,48,25,285,348,237,323,323,1.1888544891640866,333,384
MR0624,3,5,8,0,21194,0.1437310112847222,48,6,307,362,259,356,356,1.0786516853932584,359,384
MR0622,4,4,8,0,26443,0.1793280707465278,63,19,329,363,266,344,344,1.1162790697674418,374,384
MR0532,4,1,5,0,27936,0.189453125,54,30,330,362,276,332,332,1.1566265060240963,384,384
MR0533,2,5,4,0,34799,0.2359958224826389,85,30,336,355,251,325,325,1.1815384615384616,350,384
MR0534,4,5,4,0,28315,0.1920233832465278,48,49,291,362,243,313,313,1.2268370607028753,340,384
MR0535,4,4,8,0,22897,0.1552802191840278,75,42,307,354,232,312,312,1.2307692307692308,326,384
MR0536,4,1,8,0,24020,0.1628960503472222,126,39,336,353,210,314,314,1.2229299363057324,294,384
MR0537,4,2,7,0,21190,0.1437038845486111,48,46,256,351,208,305,305,1.259016393442623,292,384
MR0538,4,2,6,0,27956,0.18958875868055555,76,54,323,360,247,306,306,1.2549019607843137,347,384
MR0539,4,3,5,0,28793,0.19526502821180555,94,53,336,356,242,303,303,1.2673267326732673,339,384
MR0540,4,3,6,0,18480,0.12532552083333334,48,100,262,353,214,253,253,1.517786561264822,300,335
MR0541,3,1,5,0,13076,0.08867730034722222,58,81,326,359,268,278,278,1.381294964028777,376,359
MR0542,3,2,7,0,15411,0.10451253255208333,89,80,336,359,247,279,279,1.3763440860215055,345,360
MR0543,3,5,7,0,16234,0.11009385850694445,48,86,288,360,240,274,274,1.4014598540145986,336,353
MR0544,3,1,6,0,16352,0.11089409722222222,59,74,327,359,268,285,285,1.3473684210526315,376,367
MR0545,3,2,8,0,17188,0.11656358506944445,96,77,336,353,240,276,276,1.391304347826087,336,363
MR0546,3,1,9,0,15865,0.10759141710069445,48,76,274,360,226,284,284,1.352112676056338,318,365
MR0547,3,2,7,0,13700,0.09290907118055555,64,67,331,356,267,289,289,1.328719723183391,374,375
MR0548,2,1,7,0,14679,0.09954833984375,100,73,336,351,236,278,278,1.381294964028777,332,367
MR0549,3,5,4,0,9825,0.06663004557291667,65,185,267,345,202,160,202,1.900990099009901,284,224
MR0550,3,2,13,0,31425,0.21311442057291666,56,39,324,362,268,323,323,1.1888544891640866,376,384
MR0551,4,5,7,0,26815,0.1818508572048611,79,71,336,359,257,288,288,1.3333333333333333,357,371
MR0552,4,1,8,0,24510,0.16621907552083334,48,55,296,353,248,298,298,1.2885906040268456,346,384
MR0553,3,1,8,0,29351,0.19904920789930555,50,55,326,361,276,306,306,1.2549019607843137,382,384
MR0554,4,3,6,0,27042,0.18339029947916666,80,69,336,364,256,295,295,1.3016949152542372,356,374
MR0555,3,2,8,0,23389,0.15861680772569445,48,86,294,352,246,266,266,1.443609022556391,344,352
MR0556,3,2,6,0,7257,0.049214680989583336,63,176,298,360,235,184,235,1.6340425531914893,329,245
MR0557,2,1,8,0,14358,0.09737141927083333,91,141,336,363,245,222,245,1.5673469387755101,342,288
MR0558,3,4,4,0,13149,0.08917236328125,75,151,277,350,202,199,202,1.900990099009901,284,273
MR0531,4,3,5,0,32186,0.21827528211805555,48,32,289,364,241,332,332,1.1566265060240963,338,384
MR0559,3,2,5,0,16834,0.1141628689236111,68,161,312,361,244,200,244,1.5737704918032787,342,263
MR0530,4,2,5,0,31154,0.2112765842013889,89,25,336,354,247,329,329,1.1671732522796352,345,384
MR0528,3,4,5,0,25486,0.17283799913194445,48,37,292,329,244,292,292,1.3150684931506849,341,384
MR0501,1,1,4,0,17364,0.11775716145833333,85,135,336,359,251,224,251,1.5298804780876494,350,294
MR0502,2,1,4,0,13148,0.08916558159722222,50,167,330,360,280,193,280,1.3714285714285714,384,256
MR0503,3,1,5,0,17731,0.12024603949652778,81,135,336,360,255,225,255,1.5058823529411764,354,294
MR0504,3,4,4,0,16354,0.11090766059027778,48,157,294,356,246,199,246,1.5609756097560976,344,267
MR0505,1,5,3,0,11807,0.08007134331597222,52,160,327,360,275,200,275,1.3963636363636365,382,264
MR0506,1,2,4,0,16110,0.1092529296875,85,146,336,361,251,215,251,1.5298804780876494,350,281
MR0507,2,2,4,0,15598,0.10578070746527778,48,166,297,358,249,192,249,1.5421686746987953,347,257
MR0508,2,3,4,0,11425,0.0774807400173611,52,167,329,360,277,193,277,1.3862815884476534,384,256
MR0509,1,1,5,0,15755,0.1068454318576389,84,137,336,359,252,222,252,1.5238095238095237,351,292
MR0510,2,4,4,0,13419,0.09100341796875,48,166,287,355,239,189,239,1.606694560669456,335,256
MR0511,2,4,3,0,19217,0.13032362196180555,54,57,324,349,270,292,292,1.3150684931506849,378,384
MR0512,3,5,5,0,19172,0.13001844618055555,103,53,336,356,233,303,303,1.2673267326732673,327,384
MR0513,3,5,5,0,25596,0.173583984375,48,64,299,368,251,304,304,1.263157894736842,350,381
MR0514,4,1,5,0,20019,0.13576253255208334,59,60,331,363,272,303,303,1.2673267326732673,380,384
MR0515,3,4,6,0,21588,0.14640299479166666,48,62,308,359,260,297,297,1.292929292929293,360,382
MR0516,3,2,5,0,20044,0.1359320746527778,108,51,316,356,208,305,305,1.259016393442623,292,384
MR0517,3,4,5,0,6475,0.04391140407986111,67,208,300,356,233,148,233,1.648068669527897,327,206
MR0518,2,1,4,0,5890,0.03994411892361111,158,201,336,346,178,145,178,2.157303370786517,250,203
MR0519,1,1,5,0,4619,0.03132459852430555,48,202,232,346,184,144,184,2.0869565217391304,258,202
MR0520,1,1,5,0,4992,0.033854166666666664,80,197,320,353,240,156,240,1.6,336,219
MR0521,1,1,3,0,4293,0.02911376953125,144,206,315,349,171,143,171,2.245614035087719,241,201
MR0522,1,4,3,0,6040,0.040961371527777776,77,186,276,349,199,163,199,1.92964824120603,279,229
MR0523,1,3,5,0,4842,0.0328369140625,77,210,302,352,225,142,225,1.7066666666666668,315,200
MR0524,1,5,2,0,2011,0.013637966579861112,228,214,294,353,66,139,139,2.762589928057554,94,195
MR0525,1,5,4,0,3907,0.026496039496527776,69,198,214,348,145,150,150,2.56,203,210
MR0526,1,2,5,0,25175,0.17072889539930555,52,46,322,321,270,275,275,1.3963636363636365,376,376
MR0527,3,3,5,0,28489,0.1932033962673611,92,37,336,353,244,316,316,1.2151898734177216,341,384
MR0529,4,5,5,0,32355,0.21942138671875,50,26,325,363,275,337,337,1.13946587537092,380,384
MR0560,3,2,5,0,25083,0.17010498046875,107,43,325,362,218,319,319,1.2037617554858935,306,384
MR0561,4,2,5,0,18698,0.1268039279513889,68,46,271,352,203,306,306,1.2549019607843137,285,384
MR0562,4,4,7,0,15553,0.10547553168402778,76,57,308,368,232,311,311,1.234726688102894,326,384
MR0595,3,1,6,0,18498,0.12544759114583334,67,48,324,362,257,314,314,1.2229299363057324,361,384
MR0596,1,5,5,0,17759,0.12043592664930555,95,53,336,361,241,308,308,1.2467532467532467,338,384
MR0597,0,1,6,0,18770,0.1272922092013889,48,51,293,358,245,307,307,1.250814332247557,342,384
MR0598,0,1,7,0,18123,0.12290445963541667,72,42,318,362,246,320,320,1.2,346,384
MR0599,0,3,5,0,17988,0.12198893229166667,107,45,336,359,229,314,314,1.2229299363057324,321,384
MR0600,1,1,5,0,11847,0.08034261067708333,78,62,256,366,178,304,304,1.263157894736842,250,383
MR0601,1,3,4,0,13528,0.09174262152777778,68,194,313,359,245,165,245,1.5673469387755101,343,223
MR0602,1,5,5,0,15483,0.10500081380208333,122,64,336,358,214,294,294,1.3061224489795917,300,379
MR0603,1,5,4,0,12681,0.08599853515625,63,64,250,357,187,293,293,1.310580204778157,263,379
MR0604,1,3,6,0,17484,0.11857096354166667,57,46,321,361,264,315,315,1.2190476190476192,370,384
MR0605,2,4,6,0,17502,0.11869303385416667,90,46,336,359,246,313,313,1.2268370607028753,344,384
MR0606,1,2,5,0,18131,0.1229587131076389,49,49,280,358,231,309,309,1.2427184466019416,325,384
MR0607,1,3,6,0,14729,0.0998874240451389,65,47,319,363,254,316,316,1.2151898734177216,356,384
MR0608,1,4,5,0,12949,0.08781602647569445,111,46,336,357,225,311,311,1.234726688102894,315,384
MR0609,1,2,7,0,16509,0.11195882161458333,48,39,284,362,236,323,323,1.1888544891640866,332,384
MR0610,2,3,7,0,16147,0.10950385199652778,54,60,320,361,266,301,301,1.2757475083056478,374,384
MR0611,2,2,7,0,12820,0.0869411892361111,77,50,335,357,258,307,307,1.250814332247557,359,384
MR0612,2,2,7,0,16526,0.11207411024305555,48,52,318,358,270,306,306,1.2549019607843137,372,384
MR0613,1,4,7,0,18982,0.1287299262152778,65,49,332,361,267,312,312,1.2307692307692308,373,384
MR0614,1,5,6,0,18936,0.12841796875,95,31,334,360,239,329,329,1.1671732522796352,335,384
MR0615,1,4,6,0,21867,0.14829508463541666,48,37,294,357,246,320,320,1.2,344,384
MR0616,1,2,8,0,25953,0.17600504557291666,62,37,327,364,265,327,327,1.1743119266055047,371,384
MR0617,3,4,6,0,23071,0.1564602322048611,93,25,335,360,242,335,335,1.146268656716418,340,384
MR0618,4,3,10,0,23115,0.15675862630208334,48,28,293,364,245,336,336,1.1428571428571428,342,384
MR0619,4,3,5,0,27004,0.1831325954861111,63,23,331,363,268,340,340,1.1294117647058823,375,384
MR0620,4,1,6,0,24341,0.1650729709201389,101,9,336,363,235,354,354,1.0847457627118644,329,384
MR0621,4,4,6,0,24665,0.1672702365451389,48,13,283,361,235,348,348,1.103448275862069,329,384
MR0594,3,3,8,0,21800,0.14784071180555555,91,54,336,367,245,313,313,1.2268370607028753,342,384
MR0593,3,1,9,0,19195,0.13017442491319445,48,33,294,362,246,329,329,1.1671732522796352,344,384
MR0592,3,2,7,0,20744,0.1406792534722222,64,48,317,364,253,316,316,1.2151898734177216,355,384
MR0591,2,3,8,0,18271,0.12390814887152778,48,55,270,357,222,302,302,1.271523178807947,312,384
MR0563,3,3,7,0,15867,0.10760498046875,89,109,335,361,246,252,252,1.5238095238095237,345,326
MR0564,3,4,6,0,12422,0.08424207899305555,49,138,278,354,229,216,229,1.6768558951965065,321,290
MR0565,3,1,7,0,18497,0.12544080946180555,72,35,312,359,240,324,324,1.1851851851851851,336,384
MR0566,3,5,8,0,18252,0.123779296875,94,43,336,365,242,322,322,1.1925465838509317,339,384
MR0567,3,1,8,0,16903,0.11463080512152778,61,55,276,348,215,293,293,1.310580204778157,301,384
MR0568,4,2,5,0,16196,0.1098361545138889,76,167,319,359,243,192,243,1.5802469135802468,341,256
MR0569,3,1,5,0,12523,0.0849270290798611,152,167,336,352,184,185,185,2.075675675675676,258,254
MR0570,3,5,7,0,11767,0.0798000759548611,48,64,255,356,207,292,292,1.3150684931506849,291,379
MR0571,3,3,7,0,16428,0.11140950520833333,77,60,323,356,246,296,296,1.2972972972972974,346,384
MR0572,3,4,9,0,21920,0.1486545138888889,115,43,330,351,215,308,308,1.2467532467532467,301,384
MR0573,4,5,7,0,18422,0.12493218315972222,48,46,285,300,237,254,254,1.5118110236220472,333,351
MR0574,2,1,9,0,14932,0.10126410590277778,74,58,305,359,231,301,301,1.2757475083056478,325,384
MR0575,3,5,9,0,16145,0.10949028862847222,86,94,336,353,250,259,259,1.4826254826254825,348,342
MR0623,4,4,7,0,27120,0.18391927083333334,88,25,336,364,248,339,339,1.1327433628318584,346,384
MR0576,2,3,7,0,14537,0.09858534071180555,48,65,276,352,228,287,287,1.3379790940766552,320,377
MR0578,2,2,6,0,16043,0.1087985568576389,107,53,336,358,229,305,305,1.259016393442623,321,384
MR0579,3,3,8,0,14550,0.09867350260416667,61,74,274,353,213,279,279,1.3763440860215055,299,366
MR0580,3,2,9,0,23010,0.15604654947916666,62,35,318,363,256,328,328,1.170731707317073,360,384
MR0581,2,4,7,0,22775,0.1544528537326389,99,59,336,360,237,301,301,1.2757475083056478,333,384
MR0582,3,3,9,0,26642,0.18067762586805555,48,20,282,358,234,338,338,1.136094674556213,328,384
MR0583,3,2,7,0,18481,0.1253323025173611,68,51,318,364,250,313,313,1.2268370607028753,350,384
MR0584,2,2,8,0,18411,0.12485758463541667,48,24,267,357,219,333,333,1.1531531531531531,307,384
MR0585,3,5,5,0,18314,0.12419976128472222,99,53,336,363,237,310,310,1.238709677419355,333,384
MR0586,3,1,9,0,17696,0.12000868055555555,79,48,324,361,245,313,313,1.2268370607028753,343,384
MR0587,2,1,5,0,18409,0.1248440212673611,102,46,336,359,234,313,313,1.2268370607028753,328,384
MR0588,2,1,7,0,22636,0.1535101996527778,48,45,284,366,236,321,321,1.1962616822429906,332,384
MR0589,3,2,5,0,18002,0.12208387586805555,74,56,321,361,247,305,305,1.259016393442623,347,384
MR0590,2,2,5,0,19351,0.1312323676215278,118,33,336,362,218,329,329,1.1671732522796352,306,384
MR0577,2,3,6,0,13096,0.08881293402777778,67,45,310,363,243,318,318,1.2075471698113207,341,384
MR0500,0,4,4,0,15180,0.10294596354166667,48,167,295,361,247,194,247,1.5546558704453441,345,256
MR0748,3,4,8,0,17528,0.1188693576388889,57,79,321,363,264,284,284,1.352112676056338,370,362
MR0750,4,2,5,0,20330,0.1378716362847222,48,80,288,361,240,281,281,1.3665480427046264,336,361
MR0909,4,2,7,0,21330,0.1446533203125,100,24,336,358,236,334,334,1.1497005988023952,332,384
MR0910,4,1,10,0,22750,0.15428331163194445,48,31,288,360,240,329,329,1.1671732522796352,336,384
MR0911,4,1,9,0,14542,0.09861924913194445,60,31,317,363,257,332,332,1.1566265060240963,361,384
MR0912,4,4,7,0,18328,0.1242947048611111,110,23,336,354,226,331,331,1.1601208459214503,318,384
MR0913,4,1,7,0,13690,0.09284125434027778,48,67,263,364,215,297,297,1.292929292929293,301,377
MR0914,3,2,7,0,14242,0.0965847439236111,62,80,324,361,262,281,281,1.3665480427046264,368,361
MR0915,4,5,7,0,9777,0.06630452473958333,139,95,336,359,197,264,264,1.4545454545454546,277,342
MR0916,3,3,4,0,13871,0.09406873914930555,48,181,274,363,226,182,226,1.6991150442477876,318,240
MR0917,3,5,10,0,19446,0.13187662760416666,55,105,323,362,268,257,268,1.4328358208955223,376,331
MR0918,4,4,6,0,19596,0.13289388020833334,82,58,333,359,251,301,301,1.2757475083056478,353,384
MR0919,3,2,6,0,18179,0.12328423394097222,48,98,297,363,249,265,265,1.4490566037735848,347,339
MR0920,4,5,8,0,16531,0.11210801866319445,62,134,323,361,261,227,261,1.471264367816092,367,296
MR0921,4,4,5,0,24678,0.1673583984375,74,124,332,367,258,243,258,1.4883720930232558,362,309
MR0922,4,2,8,0,19278,0.1307373046875,48,94,309,361,261,267,267,1.4382022471910112,362,344
MR0923,4,2,7,0,19265,0.1306491427951389,50,97,322,360,272,263,272,1.411764705882353,377,340
MR0924,4,2,4,0,21398,0.1451144748263889,64,141,326,363,262,222,262,1.465648854961832,368,288
